City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
68,Dhidhdhoo,MV,81.01,scattered clouds,6.8833,73.1,Dhidhoo beach
69,Yulara,AU,89.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
70,Yazman,PK,74.82,broken clouds,29.1212,71.7446,Jamal sons showroom
71,Playa Vicente,MX,70.68,clear sky,17.8333,-95.8167,"Hotel ""Imperio"""
72,Cabo San Lucas,MX,68.5,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
73,Cidreira,BR,72.34,scattered clouds,-30.1811,-50.2056,Hotel Castelo
74,Panaba,MX,70.61,clear sky,21.2833,-88.2667,Hotel California
75,Charleston,US,71.13,mist,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
76,Bahir Dar,ET,71.89,broken clouds,11.5936,37.3908,"Delano Hotel, Bahir Dar"
77,Gambela,ET,87.21,broken clouds,8.25,34.5833,Solomon Debebe Hotel
78,Bintulu,MY,86.41,few clouds,3.1667,113.0333,900 Boutique INN
79,Marovoay,MG,82.54,broken clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
80,Noumea,NC,84.99,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
81,Xam Nua,LA,78.6,broken clouds,20.4197,104.0439,Xee Wang Guesthouse
82,Harindanga,IN,76.98,clear sky,22.0383,88.3214,Hazi Home
83,Nizwa,OM,71.46,clear sky,22.9333,57.5333,Orient Apartments
84,Arlit,NE,65.95,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
85,Havelock,US,69.06,overcast clouds,34.8791,-76.9013,Sherwood Motel
86,Flinders,AU,81.81,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
87,Kaitangata,NZ,66.92,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
88,Trincomalee,LK,81.72,scattered clouds,8.5711,81.2335,Welcombe Hotel
89,Antofagasta,CL,67.28,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
90,Nabire,ID,83.39,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
91,New Norfolk,AU,67.66,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
92,Alofi,NU,82.29,few clouds,-19.0595,-169.9187,Taloa Heights
93,Bassar,TG,75.63,scattered clouds,9.25,0.7833,Hôtel KYRIAD
94,Soro,IN,80.64,clear sky,21.2881,86.6858,Radha
95,Tura,IN,75.51,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
96,Kon Tum,VN,89.92,broken clouds,14.35,108.0,Hoa đà spa- homestay
97,Saint-Joseph,RE,84.56,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
98,Gizo,SB,85.17,light rain,-8.103,156.8419,Imagination Island
99,Banda Aceh,ID,84.79,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
100,Guane,CU,72.03,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
101,Padang,ID,89.65,broken clouds,-0.9492,100.3543,Mercure Padang
102,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
103,Santa Isabel,BR,67.66,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
104,Lebowakgomo,ZA,65.3,clear sky,-24.2,29.5,Chuene Resort
105,Lazaro Cardenas,MX,73.45,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
106,Kieta,PG,83.95,light rain,-6.2167,155.6333,Uruna Bay Retreat
107,Saint Pete Beach,US,71.24,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
108,Phuket,TH,88.02,scattered clouds,8.0,98.25,The Surin
109,Sorong,ID,82.09,light rain,-0.8833,131.25,Waigo Splash Hotel
110,Arraial Do Cabo,BR,72.57,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
111,Eyl,SO,78.13,few clouds,7.9803,49.8164,Amiin Hotel
112,Gabu,GW,66.74,few clouds,12.2833,-14.2167,Hotel karsa
113,Ahipara,NZ,68.94,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
114,Jibuti,DJ,73.04,few clouds,11.5,42.5,Orchid Main Camp Goubet
115,Buta,CD,77.54,scattered clouds,2.7858,24.73,HOTEL BISO NA BISO
116,Bathsheba,BB,77.04,few clouds,13.2167,-59.5167,Atlantis Hotel
117,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
118,Huarmey,PE,71.04,overcast clouds,-10.0681,-78.1522,Hotel Miramar
119,Cihuatlan,MX,70.0,clear sky,19.2366,-104.5651,Hotel Posada Agua Escondida
120,Vila Do Maio,CV,72.3,overcast clouds,15.1333,-23.2167,Hotel Marilu
121,Tual,ID,83.25,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
122,Cordoba,AR,68.76,clear sky,-31.4135,-64.1811,Hotel Sussex
123,Sao Felix Do Xingu,BR,69.98,broken clouds,-6.6447,-51.995,Rio Xingu Camping
124,Mocuba,MZ,73.69,overcast clouds,-16.8392,36.9856,Phama Lodge
125,Lingao,CN,79.97,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
126,Colombo,LK,89.55,overcast clouds,6.9319,79.8478,Galle Face Hotel
127,Nouadhibou,MR,65.79,overcast clouds,20.931,-17.0347,El Medina
128,Hukuntsi,BW,76.12,scattered clouds,-24.0,21.75,Entabeni Hotel
129,Kuching,MY,88.02,scattered clouds,1.55,110.3333,Hilton Kuching
130,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
131,Coahuayana,MX,69.76,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
132,Jatara,IN,81.5,clear sky,25.0167,79.05,Sohil - Mark
133,Camiri,BO,67.87,overcast clouds,-20.05,-63.5167,J R Hotel
134,Villanueva,HN,74.03,few clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
135,Victoria,HK,70.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
136,San Cristobal,VE,68.85,overcast clouds,7.7669,-72.225,Pirineos
137,Urucara,BR,72.66,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
138,Banfora,BF,72.99,clear sky,10.6333,-4.7667,Residences David Hebié
139,Doha,QA,67.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
140,Tucurui,BR,71.69,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
141,Makakilo City,US,74.01,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
142,Sao Filipe,CV,73.11,overcast clouds,14.8961,-24.4956,Hotel Xaguate
143,Ende,ID,84.61,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
144,Les Cayes,HT,73.81,few clouds,18.2,-73.75,Villa Orphee
145,Vangaindrano,MG,77.18,light rain,-23.35,47.6,Hotel Fanilo
146,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
147,Mundi,IN,82.35,few clouds,22.0667,76.5,TIWARI NIWAS
148,Najran,SA,67.71,clear sky,17.4924,44.1277,محمد هادي ال فطيح
149,Tezu,IN,78.01,clear sky,27.9167,96.1667,Circuit House
