City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Cidreira,BR,-30.1811,-50.2056,72.34,81,45,10.22,scattered clouds
180,Atbasar,KZ,51.8,68.3333,10.42,83,57,9.04,broken clouds
181,Oxelosund,SE,58.6706,17.1015,34.52,93,0,10.36,clear sky
182,Panaba,MX,21.2833,-88.2667,70.61,96,2,6.64,clear sky
183,College,US,64.8569,-147.8028,12.15,81,100,8.05,mist
184,Joshimath,IN,30.5667,79.5667,53.47,25,0,6.35,clear sky
185,Charleston,US,32.7766,-79.9309,71.13,94,100,31.07,mist
186,Qaanaaq,GL,77.484,-69.3632,-5.75,65,99,5.01,overcast clouds
187,Sarai,RU,53.7458,41.0213,33.64,98,100,21.23,snow
188,Havre-Saint-Pierre,CA,50.2334,-63.5986,27.19,86,100,14.97,overcast clouds
189,Shubarshi,KZ,48.5872,57.1869,25.84,90,100,12.15,overcast clouds
190,Caxito,AO,-8.5785,13.6643,77.65,86,74,2.98,broken clouds
191,Bahir Dar,ET,11.5936,37.3908,71.89,30,73,3.29,broken clouds
192,Gambela,ET,8.25,34.5833,87.21,22,79,1.34,broken clouds
193,Bintulu,MY,3.1667,113.0333,86.41,70,20,5.99,few clouds
194,Marovoay,MG,-16.1,46.6333,82.54,69,83,9.04,broken clouds
195,Noumea,NC,-22.2763,166.4572,84.99,99,72,11.34,broken clouds
196,Turayf,SA,31.6725,38.6637,48.45,61,75,4.61,broken clouds
197,Xam Nua,LA,20.4197,104.0439,78.6,56,70,3.87,broken clouds
198,Ribeira Grande,PT,38.5167,-28.7,51.24,65,98,22.17,overcast clouds
199,Harindanga,IN,22.0383,88.3214,76.98,26,1,7.92,clear sky
200,Nizwa,OM,22.9333,57.5333,71.46,31,0,5.21,clear sky
201,Arlit,NE,18.7369,7.3853,65.95,19,24,8.25,few clouds
202,Havelock,US,34.8791,-76.9013,69.06,91,100,18.01,overcast clouds
203,Donskoye,RU,45.4552,41.9741,42.93,66,85,7.7,overcast clouds
204,Sars,RU,56.5502,57.1366,17.4,83,98,12.53,overcast clouds
205,Sayyan,YE,15.1718,44.3244,60.19,37,2,3.24,clear sky
206,Flinders,AU,-34.5833,150.8552,81.81,79,12,15.05,few clouds
207,Lubango,AO,-14.9172,13.4925,59.76,93,100,4.23,light rain
208,Saint Anthony,US,45.0205,-93.218,3.31,71,0,0.0,clear sky
209,Kommunisticheskiy,RU,61.6789,64.4819,21.4,92,77,8.34,broken clouds
210,Leua,SK,48.2156,18.6071,42.55,70,52,11.32,broken clouds
211,Vila Franca Do Campo,PT,37.7167,-25.4333,50.2,63,88,20.6,overcast clouds
212,Narrabri,AU,-30.3167,149.7833,97.52,20,8,12.66,clear sky
213,Kargasok,RU,59.0556,80.8572,21.9,91,97,8.25,overcast clouds
214,Kaitangata,NZ,-46.2817,169.8464,66.92,71,36,1.92,scattered clouds
215,Yellowknife,CA,62.456,-114.3525,-14.28,81,0,16.11,clear sky
216,Khandyga,RU,62.6667,135.6,-15.56,89,68,1.07,broken clouds
217,Fort Nelson,CA,58.8053,-122.7002,-2.61,71,100,4.61,light snow
218,Kirksville,US,40.1948,-92.5833,14.18,78,23,4.05,few clouds
219,Bozhou,CN,33.8772,115.7703,37.62,71,100,6.2,overcast clouds
220,Trincomalee,LK,8.5711,81.2335,81.72,71,29,11.18,scattered clouds
221,Scottsbluff,US,41.8666,-103.6672,38.28,56,76,18.01,broken clouds
222,Kapit,MY,2.0167,112.9333,92.35,46,79,3.11,broken clouds
223,Antofagasta,CL,-23.65,-70.4,67.28,84,8,1.61,clear sky
224,Nabire,ID,-3.3667,135.4833,83.39,74,80,3.2,broken clouds
225,New Norfolk,AU,-42.7826,147.0587,67.66,35,38,4.0,scattered clouds
226,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,75,17.27,light snow
227,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,33,0,4.61,clear sky
228,Iskitim,RU,54.6366,83.3045,17.42,90,100,15.84,overcast clouds
229,Alofi,NU,-19.0595,-169.9187,82.29,78,15,8.05,few clouds
230,Nizhniy Tsasuchey,RU,50.5167,115.1333,8.94,69,96,12.8,overcast clouds
231,Ekhabi,RU,53.5102,142.9671,15.66,93,100,16.37,light snow
232,Sistranda,NO,63.7256,8.834,35.56,70,100,8.66,overcast clouds
233,Bassar,TG,9.25,0.7833,75.63,53,31,2.93,scattered clouds
234,Ayagoz,KZ,47.9714,80.4392,12.0,67,13,5.64,few clouds
235,Mujiayingzi,CN,42.1167,118.7833,21.83,45,52,15.14,broken clouds
236,Soro,IN,21.2881,86.6858,80.64,44,3,5.86,clear sky
237,Tura,IN,25.5198,90.2201,75.51,27,0,4.29,clear sky
238,Hofn,IS,64.2539,-15.2082,28.4,69,97,16.53,overcast clouds
239,Kon Tum,VN,14.35,108.0,89.92,46,80,2.71,broken clouds
240,Maniitsoq,GL,65.4167,-52.9,-7.67,87,99,6.33,overcast clouds
241,Balykshi,KZ,47.0667,51.8667,32.0,69,0,15.66,clear sky
242,Emerald,AU,-23.5333,148.1667,98.35,28,37,8.05,scattered clouds
243,Saint-Joseph,RE,-21.3667,55.6167,84.56,72,62,14.72,broken clouds
244,Hami,CN,42.8,93.45,25.2,29,2,2.21,clear sky
245,Half Moon Bay,US,37.4636,-122.4286,56.34,59,0,0.0,clear sky
246,Ermelo,ZA,-26.5333,29.9833,60.82,80,94,5.28,overcast clouds
247,Channel-Port Aux Basques,CA,47.5702,-59.1367,39.79,96,100,28.21,moderate rain
248,Zaragoza,ES,41.6561,-0.8773,46.54,82,0,5.75,clear sky
249,Lavrentiya,RU,65.5833,-171.0,-6.83,93,100,15.05,overcast clouds
250,Njombe,TZ,-9.3333,34.7667,63.03,83,96,4.03,light rain
251,Vestmannaeyjar,IS,63.4427,-20.2734,29.79,67,100,12.41,overcast clouds
252,Norman Wells,CA,65.282,-126.8329,-14.76,76,75,5.75,broken clouds
253,Airai,TL,-8.9266,125.4092,70.36,79,88,1.54,light rain
254,Nishihara,JP,26.1842,127.7558,60.46,88,75,23.02,broken clouds
255,Genhe,CN,50.7833,121.5167,11.62,55,99,3.89,overcast clouds
256,Gizo,SB,-8.103,156.8419,85.17,70,90,6.24,light rain
257,Banda Aceh,ID,5.5577,95.3222,84.79,72,42,2.68,scattered clouds
258,Kozhva,RU,65.1073,57.0459,24.49,90,100,13.24,overcast clouds
259,Kingman,US,35.1894,-114.053,49.48,19,0,1.99,clear sky
260,Kushiro,JP,42.975,144.3747,29.35,46,40,10.36,scattered clouds
261,Guane,CU,22.2025,-84.0875,72.03,93,6,4.61,clear sky
262,Carnarvon,AU,-24.8667,113.6333,91.47,52,99,8.05,overcast clouds
263,Mehamn,NO,71.0357,27.8492,28.9,63,100,27.89,overcast clouds
264,Padang,ID,-0.9492,100.3543,89.65,59,65,5.39,broken clouds
265,Wattegama,LK,6.7989,81.4808,86.92,47,55,6.8,broken clouds
266,Clyde River,CA,70.4692,-68.5914,-32.57,68,75,2.3,broken clouds
267,Vila Velha,BR,-20.3297,-40.2925,76.95,88,0,5.75,clear sky
268,Santa Isabel,BR,-23.3156,-46.2214,67.66,97,99,2.93,overcast clouds
269,Lypova Dolyna,UA,50.5643,33.7979,36.46,97,100,14.43,overcast clouds
270,Larsnes,NO,62.2028,5.5773,37.85,92,89,13.69,overcast clouds
271,Ponta Delgada,PT,37.7333,-25.6667,50.5,71,40,13.8,scattered clouds
272,Lebowakgomo,ZA,-24.2,29.5,65.3,70,8,5.37,clear sky
273,Peleduy,RU,59.6289,112.7406,3.7,84,100,7.38,overcast clouds
274,Boende,CD,-0.2167,20.8667,74.62,80,59,2.66,broken clouds
275,Vagur,FO,61.4732,-6.8119,37.27,79,78,22.82,broken clouds
276,Sept-Iles,CA,50.2001,-66.3821,18.12,74,100,12.66,overcast clouds
277,La Palma,US,33.8464,-118.0467,61.11,40,0,1.01,clear sky
278,Lazaro Cardenas,MX,17.9583,-102.2,73.45,89,2,3.18,clear sky
279,Camacha,PT,33.0833,-16.3333,58.42,67,75,5.75,broken clouds
280,Itoman,JP,26.1247,127.6694,61.18,88,75,20.71,broken clouds
281,Qasigiannguit,GL,68.8193,-51.1922,-16.85,98,100,3.98,overcast clouds
282,Codrington,AU,-38.2667,141.9667,63.86,54,68,14.18,broken clouds
283,Lodja,CD,-3.4833,23.4333,71.58,95,63,1.74,broken clouds
284,Malkara,TR,40.89,26.9011,47.39,84,84,12.19,light rain
285,Tranas,SE,58.0372,14.9782,34.83,76,72,16.2,broken clouds
286,Agde,FR,43.3108,3.4758,45.45,100,2,2.3,clear sky
287,Chaumont,FR,48.1167,5.1333,50.29,90,100,17.96,overcast clouds
288,Zhigansk,RU,66.7697,123.3711,-17.5,96,97,2.21,overcast clouds
289,Mount Isa,AU,-20.7333,139.5,98.37,23,40,6.91,scattered clouds
290,Pangnirtung,CA,66.1451,-65.7125,-18.78,97,99,2.64,overcast clouds
291,Kieta,PG,-6.2167,155.6333,83.95,73,26,6.67,light rain
292,Lerwick,GB,60.1545,-1.1494,41.0,62,52,8.7,broken clouds
293,Provideniya,RU,64.3833,-173.3,4.08,76,100,16.78,overcast clouds
294,Leningradskiy,RU,69.3833,178.4167,-15.92,98,100,9.84,overcast clouds
295,Ilulissat,GL,69.2167,-51.1,3.22,85,20,8.05,few clouds
296,Saint Pete Beach,US,27.7253,-82.7412,71.24,83,0,6.91,clear sky
297,Phuket,TH,8.0,98.25,88.02,66,40,10.36,scattered clouds
298,Sorong,ID,-0.8833,131.25,82.09,77,98,7.38,light rain
299,Arraial Do Cabo,BR,-22.9661,-42.0278,72.57,94,85,12.19,overcast clouds
300,Salekhard,RU,66.53,66.6019,10.36,93,100,3.71,overcast clouds
301,Eyl,SO,7.9803,49.8164,78.13,54,19,19.37,few clouds
302,Emba,KZ,48.8264,58.1442,24.6,91,95,7.96,overcast clouds
303,Sangar,RU,63.9242,127.4739,-14.85,93,93,2.51,overcast clouds
304,Ponta Do Sol,PT,32.6667,-17.1,61.43,52,49,3.98,scattered clouds
305,Srednekolymsk,RU,67.45,153.6833,-30.08,100,98,2.62,overcast clouds
306,Markova,UA,48.6758,24.4138,36.99,76,96,13.06,overcast clouds
307,Gabu,GW,12.2833,-14.2167,66.74,83,17,2.8,few clouds
308,Monte Gordo,PT,37.1819,-7.4523,50.25,86,6,9.89,clear sky
309,Ahipara,NZ,-35.1667,173.1667,68.94,67,93,3.76,overcast clouds
310,Jibuti,DJ,11.5,42.5,73.04,59,15,16.28,few clouds
311,Tromso,NO,69.6496,18.957,28.42,54,40,11.5,scattered clouds
312,Asfi,MA,32.2994,-9.2372,54.1,86,17,8.32,few clouds
313,Mitchell,US,43.7094,-98.0298,17.74,41,71,11.95,broken clouds
314,Lasa,IT,46.6166,10.7002,31.37,45,19,4.52,few clouds
315,Buta,CD,2.7858,24.73,77.54,54,43,1.19,scattered clouds
316,Bathsheba,BB,13.2167,-59.5167,77.04,70,15,17.83,few clouds
317,Vostok,RU,46.4856,135.8833,12.94,80,98,8.28,overcast clouds
318,Cherskiy,RU,68.75,161.3,-35.81,100,49,2.82,scattered clouds
319,Susehri,TR,40.1644,38.0867,20.89,86,82,3.09,broken clouds
320,Vodnyy,RU,63.5046,53.4095,28.06,90,100,11.41,overcast clouds
321,Cayenne,GF,4.9333,-52.3333,79.09,82,75,6.91,broken clouds
322,Mandalgovi,MN,45.7625,106.2708,7.12,39,9,14.76,clear sky
323,Huarmey,PE,-10.0681,-78.1522,71.04,86,100,5.03,overcast clouds
324,Cihuatlan,MX,19.2366,-104.5651,70.0,61,0,4.56,clear sky
325,Ulaangom,MN,49.9811,92.0667,-10.64,95,70,3.94,broken clouds
326,Vila Do Maio,CV,15.1333,-23.2167,72.3,70,100,16.08,overcast clouds
327,Strezhevoy,RU,60.7333,77.5889,26.58,96,96,6.64,light snow
328,Tual,ID,-5.6667,132.75,83.25,72,95,5.77,overcast clouds
329,Vardo,NO,70.3705,31.1107,26.8,63,100,30.44,overcast clouds
330,Roblin,CA,51.23,-101.3565,-2.22,98,100,8.7,light snow
331,Polunochnoye,RU,60.8697,60.4153,20.53,88,67,5.35,broken clouds
332,Verkh-Usugli,RU,52.7,115.1667,8.44,60,62,5.39,broken clouds
333,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,32.09,61,19,1.43,few clouds
334,Grindavik,IS,63.8424,-22.4338,25.27,74,0,1.14,clear sky
335,Taoudenni,ML,22.6783,-3.9836,59.65,19,86,11.92,overcast clouds
336,Ponte De Sor,PT,39.2496,-8.0101,53.15,97,36,6.89,scattered clouds
337,Oksovskiy,RU,62.6062,39.8984,33.48,98,100,13.18,snow
338,Winsum,NL,53.33,6.5208,42.98,88,100,11.92,overcast clouds
339,Cordoba,AR,-31.4135,-64.1811,68.76,79,0,1.01,clear sky
340,Aklavik,CA,68.2191,-135.0107,-20.67,87,81,2.57,broken clouds
341,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.98,99,76,1.19,broken clouds
342,Mocuba,MZ,-16.8392,36.9856,73.69,96,92,5.46,overcast clouds
343,Saint George,US,37.1041,-113.5841,46.35,34,0,3.0,clear sky
344,Lingao,CN,19.9103,109.6859,79.97,69,95,11.7,overcast clouds
345,Muros,ES,42.7762,-9.0603,57.09,83,100,13.13,overcast clouds
346,Ierapetra,GR,35.01,25.7353,49.44,69,3,3.44,clear sky
